Dentigloborotalia_anfracta,Globorotalia_cavernula,Globorotalia_crassaformis,Globorotalia_hirsuta,Globorotalia_menardii,Globorotalia_scitula,Globorotalia_tumida,Globorotalia_ungulata,Globorotalia_theyeri,Globoconella_inflata,Neogloboquadrina_dutertrei,Neogloboquadrina_incompta,Neogloboquadrina_pachyderma,Pulleniatina_obliquiloculata,Globoquadrina_conglomerata,Globorotaloides_hexagonus,Berggrenia_pumilio,Globigerina_bulloides,Globigerina_falconensis,Globigerinoides_conglobatus,Globigerinoides_ruber,Globigerinoides_white,Globigerinoides_tenellus,Orbulina_universa,Beella_digitata,Globigerinella_siphonifera,Globigerinella_calida,Globigerinella_adamsi,Turborotalita_quinqueloba,Turborotalita_humilis,Globoturborotalita_rubescens,Sphaeroidinella_dehiscens,Candeina_nitida,Globigerinita_glutinata,Globigerinita_uvula,Globigerinita_minuta,Tenuitella_iota,Hastigerina_pelagica,Hastigerinella_digitata,Globorotalia_truncatulinoides_dextral_coiling,Globorotalia_truncatulinoides_sinistral_coiling,Trilobatus_sacculifer_w_sac_chamber,Trilobatus_sacculifer_wo_sac_chamber,unidentified,Temp_mediaAnual
0,0,0,0.00877193,0,0.011695906,0,0,0,0.269005848,0.052631579,0.143274854,0.00877193,0,0,0,0,0.17251462,0.122807018,0,0,0.014619883,0,0,0,0.00877193,0.014619883,0,0.023391813,0,0,0,0,0.046783626,0,0,0,0,0,0.005847953,0.067251462,0.002923977,0,0.026315789,15.7975
0,0,0,0.002906977,0.01744186,0,0,0,0,0.270348837,0.023255814,0.174418605,0.00872093,0,0,0,0,0.183139535,0.104651163,0,0,0.020348837,0,0,0,0.011627907,0.01744186,0,0.023255814,0,0.002906977,0,0,0.049418605,0,0,0,0,0,0.005813953,0.066860465,0,0.002906977,0.014534884,15.7975
0,0,0,0.065,0,0,0,0,0,0.271,0,0.44,0.024,0,0,0,0,0.071,0.009,0,0,0.03,0,0.003,0,0,0,0,0.003,0,0,0,0,0.003,0,0,0,0,0,0.003,0.054,0.003,0,0.021,15.7635
0,0,0,0.063768116,0,0,0,0,0,0.27826087,0.017391304,0.414492754,0.020289855,0,0,0,0,0.060869565,0.023188406,0,0,0.028985507,0,0.002898551,0,0,0,0,0.002898551,0,0,0,0,0.002898551,0,0,0.002898551,0,0,0.002898551,0.066666667,0,0.002898551,0.008695652,15.7636
0,0,0,0.011988012,0,0.003996004,0,0,0,0.184815185,0,0.285714286,0.003996004,0,0,0,0,0.358641359,0.026973027,0,0,0,0,0.003996004,0.003996004,0,0,0,0.030969031,0,0,0,0,0.018981019,0,0,0,0,0,0,0.065934066,0,0,0,14.7336
0,0,0,0.015564202,0,0.003891051,0,0,0,0.190661479,0.015564202,0.280155642,0.003891051,0,0,0,0,0.326848249,0.050583658,0,0,0,0,0.003891051,0.003891051,0,0,0,0.027237354,0,0,0,0,0.019455253,0,0,0,0,0,0,0.058365759,0,0,0,14.7374
0,0,0,0.03,0,0.003,0,0,0,0.282,0,0.122,0.014,0,0,0,0,0.203,0.184,0,0,0.011,0,0.003,0,0,0.005,0,0.014,0,0,0,0,0.022,0,0,0,0,0,0.003,0.079,0,0,0.025,14.9244
0,0,0,0.032345013,0,0.002695418,0,0,0,0.28032345,0.010781671,0.113207547,0.008086253,0,0,0,0,0.229110512,0.172506739,0,0,0.010781671,0,0.005390836,0,0,0.002695418,0,0.016172507,0,0,0,0,0.018867925,0,0,0,0,0,0.002695418,0.078167116,0,0,0.016172507,14.9341
0,0,0,0.022332506,0,0.017369727,0,0,0,0.297766749,0,0.054590571,0,0,0,0,0,0.138957816,0.285359801,0,0,0.022332506,0.00248139,0.004962779,0,0.007444169,0,0,0.017369727,0,0,0,0,0.034739454,0,0,0,0,0,0.009925558,0.069478908,0,0,0.014888337,15.6059
0,0,0,0.022,0,0.017,0,0,0,0.292,0,0.053,0,0,0,0,0,0.095,0.31,0,0,0.025,0.003,0.005,0,0.008,0,0,0.012,0,0,0,0,0.043,0,0,0,0,0,0.008,0.075,0,0,0.032,15.6076
0,0,0,0.021563342,0,0.043126685,0,0,0,0.204851752,0.016172507,0.134770889,0.013477089,0,0,0,0,0.129380054,0.269541779,0,0,0.026954178,0,0.002695418,0,0,0.002695418,0,0.021563342,0,0,0,0,0.026954178,0,0,0,0,0,0.005390836,0.075471698,0,0,0.005390836,15.6359
0,0,0,0.029620853,0.001184834,0.007109005,0,0,0,0.306872038,0.016587678,0.104265403,0.005924171,0,0,0,0,0.139810427,0.174170616,0,0,0.030805687,0,0.007109005,0.001184834,0.018957346,0.023696682,0,0.008293839,0,0,0,0,0.018957346,0,0,0,0,0,0.011848341,0.085308057,0.001184834,0.001184834,0.005924171,15.8382
0,0,0,0.03,0.001,0.007,0,0,0,0.306,0.005,0.117,0.005,0,0,0,0,0.131,0.188,0,0,0.03,0,0.006,0.001,0.02,0.007,0,0.008,0,0,0,0,0.02,0,0,0,0,0,0.012,0.086,0.001,0.001,0.018,15.8394
0,0,0,0.018126888,0.003021148,0.012084592,0,0,0,0.29305136,0.081570997,0.105740181,0,0.006042296,0,0,0,0.066465257,0.087613293,0,0,0.057401813,0,0.003021148,0.003021148,0.012084592,0.01510574,0,0.012084592,0,0.003021148,0,0,0.148036254,0,0,0,0,0,0,0.027190332,0.012084592,0.01510574,0.018126888,17.7931
0,0,0,0.017,0,0,0,0,0,0.307,0,0.219,0.015,0,0,0,0,0.287,0.032,0,0,0.017,0,0.002,0,0,0.002,0,0.005,0,0,0,0,0.01,0,0,0,0,0,0.005,0.049,0,0,0.033,16.0045
0,0,0,0.01703163,0,0,0,0,0,0.306569343,0.00486618,0.216545012,0.01946472,0,0,0,0,0.296836983,0.04622871,0,0,0.01703163,0,0.00243309,0,0,0,0,0.00486618,0,0,0,0,0.00729927,0,0,0,0,0,0.00486618,0.0486618,0,0,0.00729927,16.0045
